Lat,Lon,hour,is_wekend,dbscan_cluster,dbscan2_cluster
40.728,-73.9937,11,0,0,0
40.7767,-73.9795,10,0,0,0
40.7447,-74.0284,18,1,0,0
40.7539,-73.9773,11,1,0,0
40.6756,-73.9779,19,0,0,0
40.7526,-73.9859,15,1,0,0
40.7688,-73.9562,13,0,0,0
40.7622,-73.9661,21,0,0,0
40.7249,-74.0077,12,0,0,0
40.723,-74.0358,19,0,0,0
40.7212,-73.9572,8,0,0,0
40.6407,-73.9757,9,0,0,0
40.7227,-74.0047,19,0,0,0
40.7662,-73.9522,19,0,0,0
40.7548,-73.9799,14,0,0,0
40.8108,-73.9586,3,0,0,0
40.7558,-73.9919,17,0,0,0
40.7612,-73.9932,2,1,0,0
40.6914,-73.9449,20,1,0,0
40.7128,-73.9897,3,0,0,0
40.7684,-73.9659,10,0,0,0
40.6424,-74.0179,20,1,0,0
40.7601,-73.9872,11,0,0,0
40.714,-73.9581,19,0,0,0
40.7242,-74.0001,18,0,0,0
40.7443,-74.0297,16,1,0,0
40.6873,-73.9936,7,0,0,0
40.7771,-73.9781,8,0,0,0
40.7147,-73.9612,9,0,0,0
40.7716,-73.9824,15,1,0,0
40.7237,-74.0103,17,0,0,0
40.7358,-73.976,15,1,0,0
40.7553,-73.9841,20,0,0,0
40.7411,-73.9926,16,1,0,0
40.7441,-73.9921,11,0,0,0
40.7552,-73.9796,16,0,0,0
40.7623,-73.9763,13,0,0,0
40.7202,-73.996,11,0,0,0
40.7739,-73.8719,11,0,0,0
40.762,-73.9777,19,0,0,0
40.7794,-73.9579,11,0,0,0
40.7223,-73.9972,4,0,0,0
40.7153,-73.9917,20,0,0,0
40.7528,-74.0271,21,1,0,0
40.7179,-74.0048,7,0,0,0
40.7716,-73.9563,9,0,0,0
40.7546,-73.9758,12,0,0,0
40.7248,-73.9873,16,0,0,0
40.7198,-73.9995,11,0,0,0
40.7726,-73.9464,9,0,0,0
40.7798,-73.9763,8,0,0,0
40.7628,-73.9774,9,0,0,0
40.7537,-73.9777,10,0,0,0
40.6773,-74.0171,14,0,0,0
40.742,-73.9569,16,0,0,0
40.7549,-73.9714,1,1,0,0
40.7437,-73.9928,18,0,0,0
40.7326,-73.9548,10,0,0,0
40.7757,-73.9508,13,1,0,0
40.7316,-73.9904,19,0,0,0
40.671,-73.9848,0,0,0,0
40.7254,-73.984,21,0,0,0
40.6938,-73.9832,7,0,0,0
40.7617,-73.9749,15,0,0,0
40.6855,-73.9632,22,0,0,0
40.7449,-73.9871,14,0,0,0
40.7528,-73.9925,21,0,0,0
40.7466,-74.0101,21,0,0,0
40.7776,-73.9795,13,0,0,0
40.7626,-73.9897,21,0,0,0
40.7126,-73.9519,8,1,0,0
40.735,-73.9911,23,1,0,0
40.7486,-73.9929,14,0,0,0
40.7698,-73.9606,8,0,0,0
40.7685,-73.9555,20,0,0,0
40.7193,-74.0088,22,0,0,0
40.7423,-73.9989,8,0,0,0
40.7698,-73.8644,18,0,0,0
40.7457,-73.976,7,0,0,0
40.6465,-73.7772,21,1,0,0
40.7279,-73.9958,18,0,0,0
40.76,-73.9684,17,0,0,0
40.723,-73.9975,11,1,0,0
40.72,-73.999,20,0,0,0
40.7723,-73.9671,16,0,0,0
40.7745,-73.9543,11,0,0,0
40.7491,-73.9865,13,0,0,0
40.7669,-73.961,17,0,0,0
40.7753,-73.9766,8,0,0,0
40.7622,-73.9657,9,0,0,0
